,primary_sector,count,sum,category_list,main_sector,value
275,Home & Garden,12,26737500.0,Home & Garden,Cleantech / Semiconductors,1
276,Home Automation,17,326350000.0,Home Automation,Cleantech / Semiconductors,1
277,Home Decor,2,19999890.0,Home Decor,Cleantech / Semiconductors,1
278,Homeland Security,4,6997000.0,Homeland Security,Others,1
279,Hospitality,154,1470927934.0,Hospitality,Others,1
280,Hospitals,13,68250711.0,Hospitals,Health,1
281,Hotels,26,995591248.0,Hotels,Entertainment,1
282,Human Computer Interaction,2,23900000.0,Human Computer Interaction,Others,1
283,Human Resource Automation,2,28009992.0,Human Resource Automation,Others,1
284,Human Resources,31,241239317.0,Human Resources,Others,1
285,Humanitarian,2,4700000.0,Humanitarian,Others,1
286,IT and Cybersecurity,9,31276580.0,IT and Cybersecurity,Others,1
287,Identity,10,139840611.0,Identity,Others,1
288,Image Recognition,3,26000000.0,Image Recognition,"Social, Finance, Analytics, Advertising",1
289,In-Flight Entertainment,1,15000000.0,In-Flight Entertainment,Entertainment,1
290,Incentives,1,250000.0,Incentives,"Social, Finance, Analytics, Advertising",1
291,Incubators,4,10560245.0,Incubators,"Social, Finance, Analytics, Advertising",1
292,Independent Pharmacies,2,15745869.0,Independent Pharmacies,Health,1
293,Indoor Positioning,2,13000000.0,Indoor Positioning,Others,1
294,Industrial,11,96434418.0,Industrial,Manufacturing,1
295,Industrial Automation,10,102974507.0,Industrial Automation,Automotive & Sports,1
296,Information Security,18,124303997.0,Information Security,"Social, Finance, Analytics, Advertising",1
297,Information Services,31,922261530.0,Information Services,"Social, Finance, Analytics, Advertising",1
298,Information Technology,132,1337956858.0,Information Technology,"Social, Finance, Analytics, Advertising",1
299,Infrastructure,16,144134000.0,Infrastructure,"Social, Finance, Analytics, Advertising",1
300,Innovation Engineering,9,136174848.0,Innovation Engineering,"Social, Finance, Analytics, Advertising",1
301,Insurance,10,677499999.0,Insurance,"Social, Finance, Analytics, Advertising",1
302,Intellectual Property,2,10000000.0,Intellectual Property,Others,1
303,Intelligent Systems,8,19536396.0,Intelligent Systems,Others,1
304,Interest Graph,1,3000000.0,Interest Graph,Others,1
305,Interface Design,1,3800000.0,Interface Design,Entertainment,1
306,Interior Design,1,200000.0,Interior Design,Entertainment,1
